win,lose,probability
Toronto Raptors,New Orleans Pelicans,0.858915815474449
Los Angeles Clippers,Los Angeles Lakers,0.664106388167095
Charlotte Hornets,Chicago Bulls,0.8136529812863117
Indiana Pacers,Detroit Pistons,0.6518458697615812
Orlando Magic,Cleveland Cavaliers,0.9181648814740826
Brooklyn Nets,Minnesota Timberwolves,0.5518295470786047
Miami Heat,Memphis Grizzlies,0.6729270885044506
Philadelphia 76ers,Boston Celtics,0.6618904154740199
Dallas Mavericks,Washington Wizards,0.5494676631267233
San Antonio Spurs,New York Knicks,0.9335426106189667
Utah Jazz,Oklahoma City Thunder,0.5901276702792533
Sacramento Kings,Phoenix Suns,0.8452944398710083
Portland Trail Blazers,Denver Nuggets,0.6039266924522136
Detroit Pistons,Atlanta Hawks,0.7112900594242507
Milwaukee Bucks,Houston Rockets,0.5190398693669285
Golden State Warriors,Los Angeles Clippers,0.7552799918476353
Boston Celtics,Toronto Raptors,0.5073935230310539
Charlotte Hornets,Minnesota Timberwolves,0.5400508071861804
Brooklyn Nets,New York Knicks,0.8588050457097335
Memphis Grizzlies,Chicago Bulls,0.7646338866914447
New Orleans Pelicans,Dallas Mavericks,0.5221309548291674
Oklahoma City Thunder,Washington Wizards,0.7631628903375108
Denver Nuggets,Phoenix Suns,0.9472838014053999
Portland Trail Blazers,Sacramento Kings,0.6921680658583707
Utah Jazz,Los Angeles Lakers,0.6075534833082259
Milwaukee Bucks,Miami Heat,0.8310981797718658
Philadelphia 76ers,Detroit Pistons,0.6401548755193941
Orlando Magic,Atlanta Hawks,0.8843342322935682
Boston Celtics,New York Knicks,0.8944415014559169
Toronto Raptors,Chicago Bulls,0.8848313008263484
Indiana Pacers,Cleveland Cavaliers,0.8669949664226392
Houston Rockets,New Orleans Pelicans,0.8023528787978731
San Antonio Spurs,Washington Wizards,0.7345010887675963
Utah Jazz,Sacramento Kings,0.7740761555392227
Los Angeles Clippers,Phoenix Suns,0.9087071052360409
Golden State Warriors,Oklahoma City Thunder,0.508148221099705
Brooklyn Nets,Memphis Grizzlies,0.6247684800495997
Portland Trail Blazers,Dallas Mavericks,0.6693498783478979
Miami Heat,Minnesota Timberwolves,0.5459041079509617
Los Angeles Lakers,Charlotte Hornets,0.581740940215258
Chicago Bulls,New York Knicks,0.5081667762166674
Indiana Pacers,Detroit Pistons,0.5718883985925018
Toronto Raptors,Orlando Magic,0.6243800746601779
Philadelphia 76ers,Atlanta Hawks,0.8459115076500054
Houston Rockets,Oklahoma City Thunder,0.6098775582501843
Milwaukee Bucks,Cleveland Cavaliers,0.9626565196074446
Golden State Warriors,New Orleans Pelicans,0.7974862324280871
San Antonio Spurs,Portland Trail Blazers,0.5284229595739336
Utah Jazz,Phoenix Suns,0.9287450632757122
Denver Nuggets,Sacramento Kings,0.7059849271750513
Los Angeles Clippers,Charlotte Hornets,0.6612289360320519
Miami Heat,Atlanta Hawks,0.7630459184904393
Denver Nuggets,Dallas Mavericks,0.8377590716866647
Los Angeles Lakers,Memphis Grizzlies,0.6416341198681521
Cleveland Cavaliers,Chicago Bulls,0.5111788732451374
Orlando Magic,New York Knicks,0.9195457257225184
Philadelphia 76ers,Minnesota Timberwolves,0.8119327658359552
Milwaukee Bucks,Boston Celtics,0.5519833243761232
Indiana Pacers,Brooklyn Nets,0.5981896002434557
Toronto Raptors,Detroit Pistons,0.8182938201778513
Oklahoma City Thunder,Portland Trail Blazers,0.5661923658838685
Houston Rockets,Washington Wizards,0.7544973290025683
Sacramento Kings,Charlotte Hornets,0.5014221763946205
Utah Jazz,Los Angeles Clippers,0.6528711478497975
Golden State Warriors,Phoenix Suns,0.9614205388170314
Miami Heat,Atlanta Hawks,0.7084177239785343
Denver Nuggets,New Orleans Pelicans,0.7572049452707319
Los Angeles Clippers,San Antonio Spurs,0.5247946015674589
Houston Rockets,Brooklyn Nets,0.7005726272937325
Indiana Pacers,Cleveland Cavaliers,0.919312356456184
Milwaukee Bucks,Orlando Magic,0.6373741081095126
Boston Celtics,New York Knicks,0.9422141400747045
Detroit Pistons,Chicago Bulls,0.7505381895527233
Dallas Mavericks,Los Angeles Lakers,0.5308581635896824
Utah Jazz,Sacramento Kings,0.6816305841438246
Golden State Warriors,San Antonio Spurs,0.741695930007833
Oklahoma City Thunder,New Orleans Pelicans,0.7810899735198154
Brooklyn Nets,Detroit Pistons,0.5145667880629509
Denver Nuggets,Orlando Magic,0.5394449481032981
Memphis Grizzlies,Phoenix Suns,0.7926445188747259
Milwaukee Bucks,Toronto Raptors,0.623902660122784
Minnesota Timberwolves,Washington Wizards,0.5161574205392058
Golden State Warriors,Charlotte Hornets,0.8353897271943397
Portland Trail Blazers,Philadelphia 76ers,0.6286310278382433
Indiana Pacers,Chicago Bulls,0.8973022109016324
Houston Rockets,Miami Heat,0.6162980521508005
Sacramento Kings,New York Knicks,0.7955831743743262
San Antonio Spurs,Los Angeles Lakers,0.7196347140613935
Dallas Mavericks,Cleveland Cavaliers,0.7387765960238165
Utah Jazz,Los Angeles Clippers,0.5245274465865708
Detroit Pistons,Washington Wizards,0.5724160206141773
Brooklyn Nets,New Orleans Pelicans,0.5701556212331571
Houston Rockets,Memphis Grizzlies,0.7673152060454487
Milwaukee Bucks,Minnesota Timberwolves,0.8190141539009166
Philadelphia 76ers,Phoenix Suns,0.929416640364562
Golden State Warriors,Portland Trail Blazers,0.6917586636220429
Indiana Pacers,Charlotte Hornets,0.6095558900503184
Boston Celtics,Cleveland Cavaliers,0.8869081653968641
San Antonio Spurs,Atlanta Hawks,0.8168644744971463
Los Angeles Lakers,Chicago Bulls,0.7264851282594944
Orlando Magic,Oklahoma City Thunder,0.5065254115403126
Denver Nuggets,Miami Heat,0.7917194306643444
Detroit Pistons,New York Knicks,0.8714418519464365
Indiana Pacers,Washington Wizards,0.6956600713861681
Atlanta Hawks,Chicago Bulls,0.6231541991145974
Houston Rockets,Golden State Warriors,0.5240913248217107
Toronto Raptors,Sacramento Kings,0.8480032771180941
Minnesota Timberwolves,Memphis Grizzlies,0.5337290066810332
Orlando Magic,Dallas Mavericks,0.7306025782486509
Utah Jazz,Philadelphia 76ers,0.5870711947087957
Milwaukee Bucks,Los Angeles Clippers,0.6499348247116405
Boston Celtics,Charlotte Hornets,0.6525667493870358
San Antonio Spurs,Oklahoma City Thunder,0.5412171723463061
Miami Heat,Phoenix Suns,0.8535333329561592
Portland Trail Blazers,Los Angeles Clippers,0.5367307055803996
Indiana Pacers,Detroit Pistons,0.6518458697615812
Orlando Magic,Memphis Grizzlies,0.7263302600997241
Washington Wizards,Cleveland Cavaliers,0.8196772445384183
Sacramento Kings,Atlanta Hawks,0.6949334857594927
Golden State Warriors,Minnesota Timberwolves,0.7920037766855377
Toronto Raptors,New Orleans Pelicans,0.7866802003460979
Dallas Mavericks,New York Knicks,0.8609694057175874
Denver Nuggets,Philadelphia 76ers,0.627181678944888
Milwaukee Bucks,Utah Jazz,0.5395424279807067
Portland Trail Blazers,Brooklyn Nets,0.7396405495048286
Los Angeles Lakers,Miami Heat,0.5909619645062321
San Antonio Spurs,Boston Celtics,0.5632106784589921
Charlotte Hornets,New Orleans Pelicans,0.5584731547274936
Houston Rockets,Chicago Bulls,0.8735273414817103
Memphis Grizzlies,Dallas Mavericks,0.5234608569127954
Golden State Warriors,Oklahoma City Thunder,0.508148221099705
Denver Nuggets,Minnesota Timberwolves,0.7509725181376665
Orlando Magic,Indiana Pacers,0.5579541036050776
Philadelphia 76ers,Charlotte Hornets,0.7936887207120814
Milwaukee Bucks,Oklahoma City Thunder,0.5511286803186384
New York Knicks,Cleveland Cavaliers,0.5579307642862813
Brooklyn Nets,Phoenix Suns,0.8869551663853967
Portland Trail Blazers,Atlanta Hawks,0.881220869979674
Toronto Raptors,Los Angeles Lakers,0.6724617640087127
Detroit Pistons,Minnesota Timberwolves,0.5784547128433017
Boston Celtics,Dallas Mavericks,0.8058376000290408
San Antonio Spurs,Memphis Grizzlies,0.7653642623472836
Houston Rockets,New Orleans Pelicans,0.768265604997445
Golden State Warriors,Utah Jazz,0.7021074251558492
Toronto Raptors,Los Angeles Clippers,0.5939910638726591
Oklahoma City Thunder,Indiana Pacers,0.5064049478720315
Philadelphia 76ers,Cleveland Cavaliers,0.954411199794305
Miami Heat,Detroit Pistons,0.5883537367068469
Chicago Bulls,New York Knicks,0.6732482038777355
Denver Nuggets,Atlanta Hawks,0.8805700243369082
Los Angeles Lakers,Phoenix Suns,0.856649196497365
Utah Jazz,Brooklyn Nets,0.7046673854435304
Portland Trail Blazers,Sacramento Kings,0.6921680658583707
Charlotte Hornets,Memphis Grizzlies,0.5738982537520592
Philadelphia 76ers,Orlando Magic,0.5134001568193542
Boston Celtics,Washington Wizards,0.7625377907529298
Houston Rockets,Los Angeles Clippers,0.6712817910917962
San Antonio Spurs,Minnesota Timberwolves,0.688189794553959
Golden State Warriors,Los Angeles Lakers,0.6867497967414605
Portland Trail Blazers,Toronto Raptors,0.5632199308845054
Miami Heat,Cleveland Cavaliers,0.7934661689723839
Milwaukee Bucks,Chicago Bulls,0.9518506248030526
Los Angeles Clippers,New Orleans Pelicans,0.679855658008242
Dallas Mavericks,New York Knicks,0.7534341511550322
Atlanta Hawks,Phoenix Suns,0.7502729410155262
Denver Nuggets,Brooklyn Nets,0.7384441809680394
Detroit Pistons,Charlotte Hornets,0.5166228569958624
Orlando Magic,San Antonio Spurs,0.5384309207224073
Houston Rockets,Indiana Pacers,0.6727505205268163
Utah Jazz,Memphis Grizzlies,0.7344654839062948
Washington Wizards,Minnesota Timberwolves,0.5335374623872979
Oklahoma City Thunder,Philadelphia 76ers,0.5756984378549272
Golden State Warriors,Boston Celtics,0.7208621851523606
Los Angeles Lakers,Sacramento Kings,0.6064392010150184
Brooklyn Nets,Chicago Bulls,0.7771506535484652
Milwaukee Bucks,Indiana Pacers,0.6338142203550823
Charlotte Hornets,New York Knicks,0.8117404288428792
Miami Heat,New Orleans Pelicans,0.6589565325363875
Houston Rockets,Minnesota Timberwolves,0.7622279444307773
Toronto Raptors,Dallas Mavericks,0.7188061171730578
San Antonio Spurs,Portland Trail Blazers,0.5284229595739336
Los Angeles Clippers,Atlanta Hawks,0.7972691479012591
Philadelphia 76ers,Cleveland Cavaliers,0.8967035822614317
Boston Celtics,Sacramento Kings,0.6614777625688529
Denver Nuggets,Memphis Grizzlies,0.7562235777148443
Orlando Magic,Washington Wizards,0.6923962292545914
Golden State Warriors,New Orleans Pelicans,0.7974862324280871
Los Angeles Lakers,Atlanta Hawks,0.7370054014886387
New York Knicks,Cleveland Cavaliers,0.5579307642862813
Indiana Pacers,Brooklyn Nets,0.5981896002434557
Toronto Raptors,Charlotte Hornets,0.8343230478577347
Milwaukee Bucks,Chicago Bulls,0.9069763517558187
Houston Rockets,Portland Trail Blazers,0.5975743710296781
San Antonio Spurs,Dallas Mavericks,0.6127290681423148
Boston Celtics,Phoenix Suns,0.9224550804972202
Utah Jazz,Minnesota Timberwolves,0.7763186131383097
Oklahoma City Thunder,Los Angeles Clippers,0.5239214344448311
Golden State Warriors,Memphis Grizzlies,0.7966239499563791
Portland Trail Blazers,New Orleans Pelicans,0.7449254395107299
Sacramento Kings,Phoenix Suns,0.8316074901480068
Oklahoma City Thunder,Los Angeles Lakers,0.606974000876046
Philadelphia 76ers,New York Knicks,0.9552102771037408
San Antonio Spurs,Washington Wizards,0.6790655363765319
Milwaukee Bucks,Atlanta Hawks,0.901433897678446
Brooklyn Nets,Charlotte Hornets,0.5231715939464167
